batter,season,runs,balls_faced,innings,fours,sixes,dismissals,average,strike_rate,boundary_pct,bat_index
SPD Smith,2016,270,175,7,27,8,6,45.0,154.29,20.0,83.72
SPD Smith,2017,472,387,15,38,12,12,39.33,121.96,12.92,67.1
SPD Smith,2019,319,273,10,30,4,8,39.88,116.85,12.45,65.18
SPD Smith,2020,311,235,14,32,9,12,25.92,132.34,17.45,66.79
SPD Smith,2021,152,135,7,13,2,6,25.33,112.59,11.11,57.39
SR Tendulkar,2009,982,762,28,125,13,24,40.92,128.87,18.11,71.54
SR Tendulkar,2011,553,488,16,67,5,13,42.54,113.32,14.75,65.29
SR Tendulkar,2012,324,283,13,39,4,12,27.0,114.49,15.19,59.63
SR Tendulkar,2013,287,231,14,39,5,14,20.5,124.24,19.05,61.71
SR Watson,2009,185,113,5,18,9,5,37.0,163.72,23.89,85.07
SR Watson,2011,330,252,11,31,17,10,33.0,130.95,19.05,69.39
SR Watson,2012,255,168,7,26,14,6,42.5,151.79,23.81,82.48
SR Watson,2013,543,378,16,59,22,14,38.79,143.65,21.43,77.26
SR Watson,2014,246,198,13,20,14,12,20.5,124.24,17.17,61.33
SR Watson,2015,347,257,9,37,14,9,38.56,135.02,19.84,73.4
SR Watson,2016,179,134,15,14,12,13,13.77,133.58,19.4,62.82
SR Watson,2017,71,78,7,6,1,6,11.83,91.03,8.97,42.94
SR Watson,2018,555,358,15,44,35,14,39.64,155.03,22.07,82.28
SR Watson,2019,398,311,17,42,20,17,23.41,127.97,19.94,64.54
SR Watson,2020,299,247,11,33,13,10,29.9,121.05,18.62,64.1
